INFO 2020-11-10 09:13:44,624 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,625 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,625 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,633 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,633 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,634 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,634 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,634 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,634 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,635 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,635 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,635 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,637 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,637 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,637 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,637 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,637 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,637 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,638 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,639 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,639 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,642 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,642 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,642 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,644 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,644 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,644 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,645 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,645 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,645 - HEAD -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:44,646 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,646 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:44,646 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,647 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,647 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,647 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,649 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,649 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,649 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,605 - HEAD -> Client has fetched Root1/index.html
INFO 2020-11-10 09:13:45,605 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,605 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,608 - authentication
INFO 2020-11-10 09:13:45,609 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,609 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,618 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for Simple Post
INFO 2020-11-10 09:13:45,618 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,618 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,628 - POST -> Client has accessed Root1/default.html and the post info is - 

INFO 2020-11-10 09:13:45,628 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,629 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,630 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,633 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,633 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,635 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,635 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,636 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,639 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,639 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,640 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,640 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,641 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,641 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,641 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,642 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,642 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,643 - POST -> Client has accessed Root1/default.html and the post info is - 

INFO 2020-11-10 09:13:45,644 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,645 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,646 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,647 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,647 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,649 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,650 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,650 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,651 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,651 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,652 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,653 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,653 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,653 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,654 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,654 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,654 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,656 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,656 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,656 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,657 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,657 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,657 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,660 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
